City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Timmins,CA,76.82,scattered clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
517,Akyab,MM,79.61,overcast clouds,20.15,92.9,Hotel Memory
518,Mastic Beach,US,80.98,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
519,Petrolina,BR,80.65,light rain,-9.3986,-40.5008,JB Hotel
522,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
523,Pauini,BR,80.85,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
525,Jacareacanga,BR,78.51,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
527,Fort-Shevchenko,KZ,78.39,scattered clouds,44.5086,50.263,Oasis hotel Bautino
530,Abonnema,NG,75.07,light rain,4.7084,6.7931,Corper's Lodge Obonoma
532,Westport,US,82.78,clear sky,41.1415,-73.3579,The Westport Inn
536,Kavieng,PG,83.48,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
539,Duki,PK,82.08,light rain,30.1541,68.5728,ماسٹر رشید مرحوم
548,Udankudi,IN,80.42,overcast clouds,8.4333,78.0167,"SRI ANANDHI TRADERS,UDANGUDI"
549,Pundaguitan,PH,82.17,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
552,Nanyang,CN,83.64,clear sky,32.9947,112.5328,Wolong Memory Hotel
553,Dhidhdhoo,MV,81.3,overcast clouds,6.8833,73.1,Dhidhoo beach
556,Roura,GF,80.96,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
557,Jalu,LY,79.59,clear sky,29.0331,21.5482,صاحبة الفخامة
559,Sao Felix Do Xingu,BR,77.95,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
560,Kirakira,SB,83.05,few clouds,-10.4544,161.9205,SanBiz Lodge
562,Sokoni,TZ,76.55,clear sky,-6.4333,39.55,Ujamaa Beach Resort
568,Two Rivers,US,77.49,clear sky,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
569,Katsuura,JP,75.43,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
571,Oyama,JP,82.58,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
575,Hamilton,US,82.35,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
576,Asyut,EG,84.38,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
579,Faro,PT,77.18,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
580,Kashi,CN,76.21,few clouds,39.4547,75.9797,帕米尔青年旅舍
586,Pyapon,MM,77.09,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
589,Santiago Del Estero,AR,77.74,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
590,Westfield,US,82.58,clear sky,42.1251,-72.7495,Quality Inn
604,Singkang,MY,75.04,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
607,Ciudad Bolivar,VE,79.05,overcast clouds,8.1222,-63.5497,Hotel Edi
610,Buala,SB,83.48,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
611,Pasighat,IN,77.43,broken clouds,28.0667,95.3333,Siang Guest House
612,Tirat Karmel,IL,75.58,clear sky,32.7617,34.9719,Marom Hotel Haifa מלון מרום
615,Malindi,KE,75.42,clear sky,-3.2175,40.1191,African House Resort
619,Boffa,GN,75.51,light rain,10.1667,-14.0333,Hôtel Niara Belly
625,Bourail,NC,79.52,broken clouds,-21.5667,165.4833,Motel Allamanda
628,Sur,OM,83.48,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
629,Yanam,IN,75.9,overcast clouds,16.7333,82.2167,The Regency Hotel
632,Ryotsu,JP,79.05,few clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
634,Kinablangan,PH,79.3,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
635,Maues,BR,78.4,overcast clouds,-3.3836,-57.7186,Hotel Miramar
638,Linguere,SN,83.44,scattered clouds,15.3953,-15.1193,AYO Casablanca
640,Petit Goave,HT,83.07,overcast clouds,18.4314,-72.8669,Imperial Suite International
646,Denia,ES,80.94,clear sky,38.8408,0.1057,Hotel Port Dénia
647,Puerto Tejada,CO,80.55,overcast clouds,3.2311,-76.4167,Bethel
650,Tabou,CI,75.96,overcast clouds,4.423,-7.3528,hotêl doufoulougou
652,Jieshi,CN,82.06,broken clouds,22.8134,115.8257,Yuehai Hotel
658,Dong Hoi,VN,79.34,overcast clouds,17.4833,106.6,Nam Long Hotel
662,Banda Aceh,ID,81.07,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
671,Marsa Matruh,EG,79.0,scattered clouds,31.3525,27.2453,Beau Site
676,Olinda,BR,76.73,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
679,Tanete,ID,75.02,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
682,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
688,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
690,Acarau,BR,78.78,overcast clouds,-2.8856,-40.12,castelo pizzaria
694,Anito,PH,81.66,overcast clouds,12.4497,125.2886,El Felix Cottages
695,Puerto Ayacucho,VE,75.67,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
696,San Pedro,PH,83.35,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
697,Conceicao Do Araguaia,BR,82.72,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
